family	has_parent	total_paralogs	paralogs_detected	supported	robust expression	parent correlated	low expression	unsupported	parent_mean_TPM	mean_paralog_TPM	paralog_parent_TPM_ratio	paralogs_parent correlated	parent_n_tissues
Csf2rb	True	1	1	0	0	1	0	0	21.3552	16.9690	0.7946	1	6
Cspg4	True	1	1	1	0	0	0	0	29.0296	53.4918	1.8427	0	6
Cst3	True	6	5	1	0	0	4	1	0.1191	1057.2169	53239.4892	0	2
Cstf3	True	1	0	0	0	0	0	1	33.1157	0.0000	0.0000	0	6
Ctnnbl1	True	1	1	0	0	1	0	0	9.5296	130.9652	13.7429	1	6
Ctrb1	True	3	3	2	0	0	1	0	7.0929	2.9758	1.2586	1	6
Ctsg	True	1	1	0	0	0	1	0	7.9355	1.6898	0.2129	1	5
Ctu1	True	1	1	0	0	1	0	0	17.2249	26.6428	1.5468	1	6
Cuta	True	1	1	1	0	0	0	0	467.5072	37.7978	0.0808	0	6
Cwc27	True	1	1	1	0	0	0	0	7.1202	131.1216	18.4155	0	6
Cxcr4	True	1	1	0	0	1	0	0	167.3602	16.5124	0.0987	1	6
Cyb5b	True	1	1	0	0	1	0	0	99.7790	391.8568	3.9272	1	6
Cycs	True	1	1	0	0	1	0	0	38.2617	615.4402	16.0850	1	6
Cyp11b1	True	2	2	0	0	0	2	0	6.4674	60.7554	18.7883	1	4
Cyp2b4	True	1	1	0	0	1	0	0	35.8700	381.4314	10.6337	1	6
Cyp2d16	True	1	1	1	0	0	0	0	3385.7751	277.9270	0.0821	0	6
Cyp2d4	True	1	1	1	0	0	0	0	118.8240	350.9715	2.9537	0	6
Cyp2j2	True	1	1	0	0	1	0	0	9.8589	5.7810	0.5864	1	6
Cyp3a4	True	1	1	0	0	0	1	0	755.3349	262.8665	0.3480	1	6
Dcaf12l2	True	1	1	0	0	0	1	0	1.7181	0.1665	0.0969	0	4
Dcp2	True	1	1	1	0	0	0	0	3.2136	31.3295	9.7490	0	6
Dctn5	True	1	1	0	0	1	0	0	107.2076	205.5513	1.9173	1	6
Dda1	True	1	1	0	0	1	0	0	115.5947	656.0984	5.6759	1	6
Ddt	True	1	1	0	0	1	0	0	527.4179	1289.0180	2.4440	1	6
Ddx4	True	1	1	0	0	0	1	0	0.5297	1.0092	1.9052	0	6
Defb1	True	1	1	0	0	0	1	0	272.1661	20.6232	0.0758	0	6
Dek	True	1	1	0	0	1	0	0	53.4599	120.6216	2.2563	1	6
Depdc1	True	1	1	0	0	0	1	0	3.6902	0.5008	0.1357	1	6
Dhfr	True	9	9	6	0	2	1	0	32.6214	40.8941	11.2824	2	6
Dhrs7	True	2	2	2	0	0	0	0	3.8089	45.0596	23.6600	0	4
Dhx15	True	1	1	0	0	1	0	0	103.5870	186.7269	1.8026	1	6
Diras2	True	1	1	0	0	1	0	0	90.4406	195.9082	2.1662	1	6
Dmbt1	True	1	1	1	0	0	0	0	1.1860	2.2221	1.8735	0	6
Dnah7	True	1	1	0	0	1	0	0	3.9029	13.0285	3.3381	1	6
Dnaja2	True	1	1	1	0	0	0	0	59.3049	186.3319	3.1419	0	6
Dnajb5	True	1	1	0	0	0	1	0	227.9886	0.9791	0.0043	1	6
Dnajc17	True	1	1	1	0	0	0	0	21.8574	200.5252	9.1743	0	6
Dnajc24	True	1	1	1	0	0	0	0	18.6453	213.0168	11.4247	0	6
Dnajc8	True	1	1	0	0	1	0	0	52.1809	202.3054	3.8770	1	6
Donson	True	1	1	1	0	0	0	0	102.5596	239.0628	2.3310	0	6
Dph1	True	2	2	1	0	1	0	0	45.0513	127.1180	5.6433	1	6
Dph2	True	1	1	1	0	0	0	0	153.9830	32.1793	0.2090	0	6
Dpm1	True	2	2	2	0	0	0	0	65.5624	15.9734	0.4873	0	6
Dpy19l2	True	1	1	0	0	0	1	0	1.0263	0.5088	0.4958	0	6
Drg1	True	1	1	1	0	0	0	0	21.0188	137.9165	6.5616	0	6
Dstn	True	1	1	1	0	0	0	0	842.7799	4596.5370	5.4540	0	6
Dtx4	True	1	1	0	0	1	0	0	6.0174	25.9752	4.3167	1	6
Dusp18	True	1	1	1	0	0	0	0	27.7422	9.1448	0.3296	0	6
Dynap	True	1	0	0	0	0	0	1	0.0000	0.0000		0	0
Dynll1	True	2	2	0	0	1	1	0	1465.3938	1230.9605	1.6800	1	6
Dynlrb1	True	1	1	1	0	0	0	0	28.2103	5199.2173	184.3020	0	6
Dynlt1	True	1	1	1	0	0	0	0	19.4046	219.3700	11.3050	0	6
Dynlt3	True	1	1	0	0	1	0	0	288.3213	360.5876	1.2506	1	6
Eci1	True	1	1	0	0	1	0	0	227.1370	732.5760	3.2253	1	6
Ect2	True	1	1	0	0	1	0	0	2.6390	2.0430	0.7741	1	6
Eef1a1	True	50	50	25	0	24	1	0	48.6386	158.7777	163.2220	24	6
Eef1b2	True	4	3	0	0	3	0	1	425.4940	567.8314	5.3381	3	6
Eef1d	True	1	1	1	0	0	0	0	149.7497	65.8006	0.4394	0	6
Eef1e1	True	1	0	0	0	0	0	1	62.7401	0.0000	0.0000	0	6
Eef1g	True	1	1	0	0	1	0	0	308.0782	6398.9952	20.7707	1	6
Eef2	True	6	6	0	0	6	0	0	405.0253	446.3488	6.6122	6	6
Eef2kmt	True	1	1	1	0	0	0	0	44.3609	54.6079	1.2310	0	6
Eid1	True	1	1	0	0	1	0	0	58.3454	4050.0367	69.4149	1	6
Eif1	True	9	7	6	0	1	0	2	638.6750	91.6134	1.2910	1	6
Eif1ax	True	3	3	2	0	1	0	0	107.0121	140.9092	3.9503	1	6
Eif2b1	True	1	1	0	0	1	0	0	96.9410	605.2293	6.2433	1	6
Eif2b4	True	1	1	0	0	1	0	0	220.5864	317.4405	1.4391	1	6
Eif3a	True	1	1	0	0	1	0	0	47.2326	861.4935	18.2394	1	6
Eif3e	True	4	4	2	0	2	0	0	23.5624	162.8187	27.6404	2	6
Eif3k	True	1	1	1	0	0	0	0	336.3669	53.7481	0.1598	0	6
Eif4b	True	2	2	0	0	2	0	0	98.5437	770.4457	15.6366	2	6
Eif4ebp2	True	3	3	2	0	1	0	0	17.1033	26.4665	4.6423	1	6
Eif4g2	True	1	1	0	0	1	0	0	902.4272	717.6178	0.7952	1	6
Eif5a	True	1	1	0	0	1	0	0	760.2808	94.3633	0.1241	1	6
Eif5a2	True	1	1	0	0	1	0	0	59.7080	111.9671	1.8752	1	6
Ell2	True	1	1	0	0	0	1	0	44.9537	0.0644	0.0014	0	6
Elob	True	4	4	3	0	1	0	0	163.5542	818.4276	20.0161	1	6
Emb	True	2	2	0	0	2	0	0	33.2017	228.8954	13.7882	2	6
Eno1	True	1	1	0	0	1	0	0	87.2325	132.5430	1.5194	1	6
Ensa	True	1	1	0	0	1	0	0	372.9519	426.3572	1.1432	1	6
Ep300	True	2	2	2	0	0	0	0	51.2732	254.2245	9.9165	0	6
Ercc6l	True	1	1	0	0	0	1	0	43.9304	1.0030	0.0228	0	6
Erh	True	1	1	1	0	0	0	0	72.1599	1552.0738	21.5088	0	6
Eri3	True	1	1	1	0	0	0	0	14.0430	703.6531	50.1071	0	6
Esd	True	1	1	1	0	0	0	0	43.5586	1.8762	0.0431	0	6
Exoc5	True	1	1	0	0	1	0	0	69.8116	139.4158	1.9970	1	6
Exosc2	True	1	1	0	0	1	0	0	47.0862	191.0571	4.0576	1	6
Exosc5	True	1	1	0	0	1	0	0	60.0415	122.5080	2.0404	1	6
Exosc8	True	1	1	0	0	1	0	0	58.2883	109.0712	1.8712	1	6
Fabp1	True	2	2	2	0	0	0	0	11.5152	3763.1291	653.5910	0	4
Fabp3	True	2	2	0	0	1	1	0	535.0805	1769.2243	6.6129	1	6
Fabp6	True	1	1	1	0	0	0	0	0.9126	9.7375	10.6704	0	6
Fads2	True	1	1	0	0	1	0	0	31.2970	46.8052	1.4955	1	6
Fam162a	True	1	1	0	0	1	0	0	99.4091	2325.2421	23.3906	1	6
Fam170a	True	1	1	0	0	0	1	0	0.2269	0.3145	1.3858	0	4
Fam216a	True	1	1	1	0	0	0	0	0.9532	93.5681	98.1613	0	4
Fam32a	True	3	3	1	0	1	1	0	356.5162	213.4800	1.7964	1	6
Fam72a	True	1	1	0	0	0	1	0	2.8093	1.1509	0.4097	0	6
Fbf1	True	1	1	0	0	1	0	0	15.0994	6.8369	0.4528	1	6
Fbxo27	True	1	1	1	0	0	0	0	12.8723	5.1417	0.3994	0	6
Fcf1	True	10	10	6	0	0	4	0	14.4998	7.6387	5.2681	0	6
Fhit	True	1	1	0	0	1	0	0	0.1513	72.0581	476.3134	1	6
Fkbp1a	True	1	1	0	0	1	0	0	267.2910	0.7567	0.0028	1	6
Fkbp3	True	6	6	4	0	1	1	0	88.0238	25.3199	1.7259	1	6
Fkbp4	True	1	1	0	0	1	0	0	295.6293	3265.0039	11.0442	1	6
Fmo5	True	1	1	0	0	0	1	0	290.6698	0.0162	0.0001	0	6
Fndc11	True	1	1	0	0	1	0	0	19.6826	12.4273	0.6314	1	6
Fnta	True	1	1	1	0	0	0	0	60.9152	350.4929	5.7538	0	6
Fpr2	True	4	4	0	0	0	4	0	0.2596	8.1598	125.7461	0	6
Fsbp	True	1	1	1	0	0	0	0	0.3575	19.5378	54.6444	0	4
Fsip2	True	1	1	1	0	0	0	0	0.1166	86.5471	742.0134	0	6
Fth1	True	8	8	1	0	5	2	0	313.1867	500.9877	12.7972	5	6
Fundc2	True	1	1	0	0	1	0	0	82.2824	1111.0107	13.5024	1	6
Fxyd5	True	1	1	0	0	1	0	0	95.2073	124.7172	1.3100	1	6
Fzd10	True	1	1	0	0	1	0	0	2.8399	43.6637	15.3751	1	4
Gabarap	True	1	1	1	0	0	0	0	1776.6373	1997.1583	1.1241	0	6
Gabarapl1	True	1	1	0	0	1	0	0	1017.5490	749.6364	0.7367	1	6
Gabarapl2	True	2	2	1	0	1	0	0	120.4865	1463.9154	24.3001	1	6
Gapdh	True	2	2	1	0	0	1	0	186.6753	21.5362	0.2307	0	6
Gbp5	True	4	4	0	0	4	0	0	17.1328	39.0530	9.1177	4	6
Gbp6	True	3	3	0	0	2	1	0	33.5142	46.2669	4.1416	2	6
Gdi2	True	2	2	2	0	0	0	0	48.0141	790.0901	32.9108	0	6
Gfm1	True	1	1	1	0	0	0	0	61.2589	644.6122	10.5227	0	6
Ggta1	True	1	1	1	0	0	0	0	0.1524	10.9437	71.8228	0	5
Gins3	True	1	1	0	0	1	0	0	48.7321	82.4117	1.6911	1	6
Gja1	True	1	1	1	0	0	0	0	765.0841	66.0386	0.0863	0	6
Glrx3	True	1	1	1	0	0	0	0	57.2415	1418.1812	24.7754	0	6
Gltp	True	1	1	0	0	1	0	0	49.9256	582.8470	11.6743	1	6
Glud1	True	1	1	0	0	1	0	0	670.3995	2280.2997	3.4014	1	6
Glul	True	2	2	0	0	2	0	0	729.8737	1876.9539	5.1432	2	6
Glyatl3	True	1	1	0	0	0	1	0	0.0820	0.0527	0.6431	0	1
Gnai2	True	2	2	0	0	2	0	0	1367.8971	693.9508	1.0146	2	6
Gnai3	True	2	2	2	0	0	0	0	42.4073	92.1523	4.3461	0	6
Gnaq	True	1	1	1	0	0	0	0	23.3652	94.3883	4.0397	0	6
Gnas	True	6	3	1	0	1	1	3	498.5670	23.1968	0.2792	1	6
Gng10	True	1	1	0	0	1	0	0	214.5076	41.8616	0.1952	1	6
Gng5	True	3	3	2	0	0	1	0	82.3431	57.9354	2.1108	0	6
Gnl3	True	1	1	1	0	0	0	0	125.9711	115.5532	0.9173	0	6
Got1	True	1	1	0	0	1	0	0	221.8091	1448.6144	6.5309	1	6
Gpkow	True	2	2	1	0	1	0	0	30.9012	111.4998	7.2165	1	6
Gpx7	True	1	1	0	0	1	0	0	93.8716	115.3362	1.2287	1	6
